id_code,image_path,source_image_id,wagner_grade,class_name,original_partition,sha256,is_canonical
112_jpg.rf.472615b206cdec5593b07c5716920e47,test/Grade 1/112_jpg.rf.472615b206cdec5593b07c5716920e47.jpg,112_jpg,0,Grade 1,test,ea55c6c2bbccbd46716ddbc00813906a2f60b45bc86a5927b5800a1b8e852cb5,True
1882_19-Effective-Home-Remedies-For-Corns-And-Calluses_jpg.rf.6256f6ef2653be63d76df1f6f0eaea9d,test/Grade 1/1882_19-Effective-Home-Remedies-For-Corns-And-Calluses_jpg.rf.6256f6ef2653be63d76df1f6f0eaea9d.jpg,1882_19-Effective-Home-Remedies-For-Corns-And-Calluses_jpg,0,Grade 1,test,210781b12baa1397b607bdf5e08caad92342a201e5598823ef564844ffc3cb33,True
266_jpg.rf.05a52fec87c1b83ad366f07cdedff1c0,test/Grade 1/266_jpg.rf.05a52fec87c1b83ad366f07cdedff1c0.jpg,266_jpg,0,Grade 1,test,37d5796af3aeddd13921b018f2f871b5e9960262d29f9c3b8788048eba2f966b,True
301010_jpg.rf.b6c4c0657943b9e4c31a6bcd28be2ff5,test/Grade 1/301010_jpg.rf.b6c4c0657943b9e4c31a6bcd28be2ff5.jpg,301010_jpg,0,Grade 1,test,8b2f18a4a99daa9bc99957fe7b9c21772ea902a94c2885a82969abd09e3b8ab5,True
301094_jpg.rf.7d3b7163e735de53aecfcd7afa599c35,test/Grade 1/301094_jpg.rf.7d3b7163e735de53aecfcd7afa599c35.jpg,301094_jpg,0,Grade 1,test,d3ef01ccec5a480b8b16519abc1cd11fb66cf023c2a659182d91be014629191a,True
301264_jpg.rf.fedd7346d670ddece894a28645f34f4a,test/Grade 1/301264_jpg.rf.fedd7346d670ddece894a28645f34f4a.jpg,301264_jpg,0,Grade 1,test,01810fb6cb8247b0aba873d4dfb0ef23835103e0abe8af619860a5a59742845a,True
301417_jpg.rf.a80f7142529c1944b62f114f4fd95297,test/Grade 1/301417_jpg.rf.a80f7142529c1944b62f114f4fd95297.jpg,301417_jpg,0,Grade 1,test,5c0187edca77c5fbf0bd5094c1a0f124e74d0b12c9e3abd1d1221b142c8f58cb,True
301423_jpg.rf.0b4699cf3d1ca3dfad4955e1dd2f4cdf,test/Grade 1/301423_jpg.rf.0b4699cf3d1ca3dfad4955e1dd2f4cdf.jpg,301423_jpg,0,Grade 1,test,ac7acc5fb2d3765aed3cd82c2135186810a9814b71a4708f02aa8031d4347178,True
301508_jpg.rf.2c2f164dce4ad0fbc7073591101e36e0,test/Grade 1/301508_jpg.rf.2c2f164dce4ad0fbc7073591101e36e0.jpg,301508_jpg,0,Grade 1,test,49ea40ec6474c2fe69d39d97f64e8f3debf83e1d2b64d1c87171ef8db5c07ffd,True
301613_jpg.rf.250d2c749ee82a2b07c39bb419327bda,test/Grade 1/301613_jpg.rf.250d2c749ee82a2b07c39bb419327bda.jpg,301613_jpg,0,Grade 1,test,007851ac8e81daaf4d9bf3d418f2059dc65809ecb35497adff4d30426253cb44,True
301720_jpg.rf.3387fb0e59e1b0697cc45dad02c9558f,test/Grade 1/301720_jpg.rf.3387fb0e59e1b0697cc45dad02c9558f.jpg,301720_jpg,0,Grade 1,test,cc0b90dc6481489d6c453beb558b04b09735eded9188a39f8acac60708cc4186,True
301732_jpg.rf.b98b320397ea02bdfe36fc43dd21673d,test/Grade 1/301732_jpg.rf.b98b320397ea02bdfe36fc43dd21673d.jpg,301732_jpg,0,Grade 1,test,da7cdc03a83461d235beb904f47890513ac1f84017b0ec70c8a4ef5938c00ff2,True
